// This file was generated in Early Access build of BowieD's AssetEditor 0.0.19-alpha.1
Name Развесить плакаты.
Description Твоя задача развесить 10 плакатов в местах, которые я тебе скажу. Когда расклеишь - заплачу!
9764a0f749e01ebf1b34b68cac3e98fd Стрип-клуб - Фиеро {0}/1
487fd070d18ea27435493418744ede0b Полиция - Фиеро {0}/1
01507050fef078c974a0fa29b76438d1 Школа - Фиеро {0}/1
3a17009974dbde8b2f3de7fa9a32295c Лесопилка {0}/1
dc17381873b88243fed3c7072b103360 Оружейный магазин - Адамс {0}/1
628c53e6d111490a601d5fb8eca0598f Ферма {0}/1
ef9cc478f31552ce4c6b578011a65c24 Банк - Адамс {0}/1
3c2f09e338770c92a5ecd2cd45fec67b Свалка {0}/1
3b568d09858e7b97b824e99a97a6486a Автосалон - Фиеро {0}/1
84cf61f97590d35b3bbf3842d7bb3a65 Банк - Фиеро {0}/1
